login_hour,failed_attempts,new_device,ip_changed,geo_distance_km,session_duration
18,1,0,0,13.819317769592974,20.914676623092056
17,2,1,0,14.01463839754938,27.371285366551266
14,2,0,0,18.97667209518206,15.165562961318546
16,2,0,0,32.025329445642235,31.695708281851115
17,0,0,0,30.49128078277601,34.74253514037074
12,0,0,0,17.447112546314873,30.197352597846297
12,2,0,0,2.6592350069961412,31.898526467397264
19,0,0,0,22.29358448348011,29.27353021180878
15,0,0,0,18.572086838237585,39.950923169127094
6,1,0,0,6.821615627606727,25.116670028839565
12,0,0,0,2.214016343411867,28.91680989841414
8,0,0,0,21.25431828020236,6.6586177944025735
23,0,0,0,15.162252318387694,20.04862095075125
17,1,0,0,26.643737949443608,22.510420109664974
14,1,0,0,17.720773654120958,41.46491109624154
5,3,0,0,12.37957032352589,27.86633846696883
12,2,0,0,16.971679623925574,43.334410109662024
8,1,0,0,23.03690299387916,32.98750295702514
16,0,0,1,29.339930494934116,30.381657422690065
17,1,0,0,9.731000401858136,26.170865751659438
8,1,0,0,13.688297415103342,30.704917202960345
7,2,0,0,16.695546027993664,31.764969522597845
13,1,0,1,13.49572872262996,20.657796736478183
10,4,0,0,14.802790269000251,33.67119865567818
11,2,0,0,18.98836184884025,23.320980410979736
6,0,0,0,23.771593654437112,28.783525541091496
16,1,0,0,21.603956212668205,19.03477361524647
11,3,0,0,25.359569453702058,29.41465897488437
14,0,0,0,21.388202415143766,34.50185373560546
16,1,0,0,13.107204105395255,31.03910638390998
16,2,0,1,22.235382457701345,31.281018629864082
11,2,0,0,14.477467784142569,31.842581151499953
15,1,0,0,18.2138601559765,23.46594139490101
16,1,0,0,7.398258010107515,41.45588737086026
15,0,0,0,29.191093351428023,21.66323939861112
17,1,0,0,2.1337182437411855,22.384442195022395
11,0,0,0,26.508133061285193,23.97191287597753
10,3,0,0,9.411092747385313,36.971888276981446
14,0,0,0,23.01231784875616,22.94700760421001
9,1,0,0,21.279700993583816,20.517616586130817
16,1,0,0,5.1452140535284325,29.92778054394342
7,1,0,0,25.344176527886304,52.524205475665994
19,5,0,0,16.308597412226586,31.515859982388044
15,2,0,0,31.27064924687679,26.634370902819732
13,0,0,0,27.095546423654007,30.253791635165612
13,1,0,0,21.684209580148547,33.06474605345551
14,3,0,1,8.949155431899054,36.23135590066412
11,1,0,0,24.69475571568571,10.855218225437852
13,2,0,0,18.778236535367938,31.125071811217275
12,1,0,0,4.6672130530160665,20.884041743305026
18,1,0,0,7.962635351198577,22.06532501417574
14,1,0,0,31.183686350348992,33.918815553450884
17,2,0,0,23.253637183678162,32.88031651529078
18,0,0,0,17.741505138567337,9.330816926618802
20,1,0,0,39.574284388370884,28.917471327517035
12,1,0,0,25.45326041479066,26.402730095440976
19,1,0,0,8.555378650559573,29.716769606591537
10,1,1,0,38.33069848449624,20.846391285351274
15,2,0,0,22.01340944142615,32.343864797206315
15,1,0,0,22.695927357748833,31.170216751444322
12,0,0,1,13.095631784670532,30.493902866066925
15,1,0,0,10.890862133139056,32.36115530055122
18,0,0,0,11.659300129215906,32.79809026441286
17,1,0,0,25.408625221952036,25.945190635388176
15,0,0,0,15.65027777540789,31.58874301524601
15,0,0,0,26.417944653904467,33.18757914989295
16,5,0,0,20.842646934472572,26.2464769549552
14,0,0,0,23.286813890009554,22.37235642230009
7,0,0,0,26.768833252916014,29.32980475333894
13,2,0,0,11.691801807908966,34.62062537873251
11,0,0,0,24.890277452580513,33.78243539387951
10,1,0,0,28.211671756668647,41.930933883827734
10,0,0,0,29.812410358698713,38.05902519256389
11,0,0,0,17.42154096467919,35.42250384507971
16,4,0,0,12.868742463701388,31.30080876239147
5,1,1,0,29.33712940360099,42.57826765973189
20,0,1,0,23.77073391031107,39.769633514805925
8,0,0,0,13.587117091870407,36.72903389732865
13,2,0,0,10.737858468415473,26.050085155874616
14,0,0,0,30.65055902187479,38.63524406349909
9,1,0,0,3.4886341605910722,31.927256659875752
12,2,0,0,32.721042909236985,39.43126564135232
15,3,0,0,19.746970854096563,32.000455437972754
13,0,0,0,25.275487790887816,28.16272225816517
16,2,0,0,28.55937656088613,28.836939025987636
6,3,0,0,5.37513653805107,33.472538753565004
15,2,0,0,24.025594772773264,29.395539230395066
12,5,0,0,33.72904268048299,21.45580762389431
10,3,0,0,41.839859334758195,39.06273921310341
10,0,0,0,14.69185760546185,32.59683612486557
7,4,0,1,15.42604791298049,28.705900276835308
16,2,0,0,18.955616652094292,28.579009653327226
14,0,0,0,33.129932437506355,29.523141964311865
15,2,0,0,10.670259749106982,21.034481806654814
15,3,0,0,40.81997949817779,26.98432209162085
13,1,0,0,18.741524049588122,38.73530348742479
16,2,0,0,16.807816362624923,25.659624569362315
14,1,0,0,13.275091248498875,28.16374524161375
10,0,0,0,16.25208634914681,29.27703716506752
11,0,0,0,28.802946021457934,24.474531070332393
16,1,0,0,14.704151218781002,39.546863297189105
11,0,0,0,19.509961376788794,36.168295561625634
15,2,0,0,4.412373187531873,30.42409968609732
18,0,0,0,13.02965721870942,21.23737005266837
7,1,1,0,31.070387925681505,44.42025732202249
12,2,0,0,16.734708091556342,41.06093505017414
20,2,0,0,13.767953547861408,37.09025897783881
21,0,0,0,8.622275289197214,29.80925257260116
17,1,0,0,26.185110110067768,36.063513772711985
14,1,0,0,29.02943742144707,26.135285849656114
11,4,0,0,19.236793264023866,24.916344496087582
17,1,0,0,22.059318477517046,40.00811151951283
17,0,0,0,20.138682390367723,16.252249379710115
10,0,0,0,33.645123731597764,28.40158119483719
11,0,0,1,24.59407560106107,35.23153907854316
16,1,0,0,10.115360114418298,26.27970162732107
7,0,0,0,17.036304989576415,34.87902990288893
12,1,0,0,3.3437535375240337,21.16427519616969
14,2,0,0,8.467338096071291,26.430804558006514
14,0,0,0,10.436947936826487,29.711523942779205
15,1,0,0,11.208904823279639,27.693813844350746
8,1,0,1,21.470954033594285,16.958441151849186
17,1,0,0,11.383242446862097,20.92548072541088
12,1,0,0,25.212417360017433,24.025524845383025
14,0,0,0,1.1756727086170002,32.80001437084094
13,2,0,0,14.580113161525833,29.22462342493089
17,0,0,1,34.807811527067706,31.557456841948397
21,1,0,0,25.752843286772574,32.96723297962536
13,3,0,0,19.575342687792492,29.750255735001453
18,2,0,0,19.497759163386693,31.514488769705256
18,2,0,1,16.107819137633214,19.47615427518076
8,2,0,0,25.145541460761294,35.235905144236625
16,2,0,0,28.231571013742695,30.950489486251108
17,3,0,0,10.238270934766254,17.024942187917496
14,0,0,0,6.117657789874404,28.205054797728486
9,2,0,0,14.944226363036986,41.191266034730496
13,0,0,0,39.38785353557117,32.779564116546545
12,0,0,0,32.08513307954371,20.009542417661294
15,3,0,0,8.04223182385055,36.67997896367961
17,1,0,0,21.620503652960497,14.360816321834777
9,1,0,0,35.66111732192327,24.757847079642772
10,1,1,0,13.248474841775721,18.139674216915125
9,3,0,0,23.196089608351528,27.775640706848744
6,1,1,0,20.170905610398695,31.249573215644602
21,0,0,0,10.924017352873143,19.613311936703212
9,2,0,0,17.07609648570724,18.665187870009206
14,1,0,0,33.331846049920316,40.32942669098088
17,1,0,0,23.249414604571317,34.27583391536088
13,1,0,0,23.1850314833191,27.291593772673224
17,0,0,0,25.59239449935203,20.499720407412305
15,0,0,0,29.869121605263125,22.389480406138865
11,3,0,0,9.007310926009403,20.22817392993581
19,0,0,0,7.902008953941861,29.704631523724537
10,1,0,0,39.14796173413819,22.043771679989796
13,3,0,0,29.826336210641163,45.801334688438516
11,2,0,0,23.44549121460967,44.04805521382897
20,0,0,0,16.132736702904804,25.667056064670195
16,1,0,0,3.5883296892412595,21.509058981419976
16,1,0,0,24.27417685162544,36.3110740514743
16,0,0,0,26.400141262226434,24.353301616263405
14,0,0,0,17.717464450075354,29.712658070216303
16,2,0,0,14.178015723204178,27.394147083656623
5,1,0,0,9.5282180288344,20.790125236963412
19,2,0,0,25.059887978518873,39.93585579282905
13,2,0,0,-6.954753062643711,28.22179650419324
8,3,0,0,31.07455054337144,21.038545754543165
16,1,0,0,3.0151752174961786,29.040787097233736
9,0,0,0,25.43154457990493,40.64496716859861
14,3,1,0,26.501508734661297,13.956202609747194
13,0,0,0,24.339565263165063,44.01996815207171
14,1,0,0,15.452874612529282,28.46812844870348
12,0,0,0,16.86021544284314,41.01131033379364
13,1,0,0,8.965507051890542,19.915284194487366
14,1,0,0,16.390366667332838,37.82857734683184
17,0,0,0,16.004457979325117,37.88333825794018
12,0,0,0,15.815626769521266,41.48966033955808
18,2,0,0,10.21309890250587,37.14099498197416
11,1,0,0,17.203093919699203,41.52980404567195
22,0,0,0,29.056912138219523,26.69951442224488
7,1,0,0,11.509656688975209,15.287330834616055
12,2,0,0,13.335422518887821,29.307891311962262
18,3,0,0,7.74605163965979,34.473420922515864
12,0,0,0,15.530109421113288,20.103869268389694
12,2,0,0,17.768177467625026,29.486021919076954
11,1,0,0,21.896388714567035,29.497351142915203
15,1,0,0,3.5327168136662728,35.2682563531664
16,3,0,0,32.35693947254336,43.93489124743746
13,4,0,0,39.961189697973445,26.103493515534403
13,0,0,0,26.55506516062794,35.677777731649286
13,0,0,0,14.526331453666813,35.82737954142121
13,0,0,0,34.47419387865172,38.409418386260846
14,2,0,0,30.930379969819345,28.97376331529489
7,1,0,1,22.81209024422898,28.322457881570706
9,2,0,0,-4.47733091877009,30.561896083121514
11,2,0,0,27.710645694058215,29.668463494101747
0,2,0,0,18.309803347865135,21.390056349684205
12,2,0,0,18.435363252952243,27.337080037633363
11,0,0,1,39.283541429923666,35.05693748717731
13,1,0,0,12.018398043094034,35.61551086083621
14,3,0,0,25.825191060900483,35.68555762162105
9,1,0,0,13.301771917992516,27.86073752466391
7,1,0,0,31.864606206493846,19.149496366718058
15,0,0,0,25.857539586826462,28.576717942942008
11,0,1,0,18.598467410560048,32.966788048316026
13,1,1,0,-1.4807892592525427,28.04711592328682
16,2,0,0,20.529936550358617,36.038032761068784
23,2,0,0,28.554695509566802,30.665378532706715
9,1,0,0,6.583100512411978,32.92411809169733
14,2,0,1,30.23622119452888,39.53095937398506
18,1,1,0,19.338789259633327,21.15735466659122
16,2,0,1,17.97628615971669,32.87460988640262
10,0,0,0,10.085991774067619,27.559674118889834
12,0,0,0,28.172335013682925,23.611725703559138
10,2,0,0,12.382922723575895,37.23812937427388
15,0,0,0,11.754407092001864,24.438251029200888
13,1,0,0,22.54401222747261,28.818579579336973
14,0,0,0,11.11611259743557,19.730179449142746
11,0,0,0,39.4765483982205,38.68762341820114
11,0,0,0,12.377061126860584,21.483333076514775
8,2,0,0,43.91690706129626,25.23399296166387
13,0,0,0,58.20781193311299,25.68183051206855
9,0,0,0,14.005863856699497,37.28820993913239
7,3,0,0,37.93868319192215,12.34529083535762
14,2,0,0,17.97088925750687,17.53027768234823
21,1,0,0,9.285352573434498,25.645622698101782
17,0,0,0,13.812128946178271,33.14506515630498
15,0,0,1,35.81174580154771,31.830971021334264
16,1,0,0,7.8234483620971105,39.42679158795397
8,4,0,0,4.9046546733791825,45.39098938969429
12,2,1,0,19.806566114262814,14.951452152248248
15,1,0,0,30.98563709867563,35.3781210221059
